target_id,quarter,file_path,label
11904151,0,pre-processing\data\refined\positive\P_Kepler-10\P_Kepler-10_Kepler_Quarter_00.npz,1
11904151,1,pre-processing\data\refined\positive\P_Kepler-10\P_Kepler-10_Kepler_Quarter_01.npz,1
11904151,2,pre-processing\data\refined\positive\P_Kepler-10\P_Kepler-10_Kepler_Quarter_02.npz,1
11904151,3,pre-processing\data\refined\positive\P_Kepler-10\P_Kepler-10_Kepler_Quarter_03.npz,1
11904151,4,pre-processing\data\refined\positive\P_Kepler-10\P_Kepler-10_Kepler_Quarter_04.npz,1
11904151,5,pre-processing\data\refined\positive\P_Kepler-10\P_Kepler-10_Kepler_Quarter_05.npz,1
11904151,6,pre-processing\data\refined\positive\P_Kepler-10\P_Kepler-10_Kepler_Quarter_06.npz,1
11904151,7,pre-processing\data\refined\positive\P_Kepler-10\P_Kepler-10_Kepler_Quarter_07.npz,1
11904151,9,pre-processing\data\refined\positive\P_Kepler-10\P_Kepler-10_Kepler_Quarter_09.npz,1
11904151,10,pre-processing\data\refined\positive\P_Kepler-10\P_Kepler-10_Kepler_Quarter_10.npz,1
11904151,11,pre-processing\data\refined\positive\P_Kepler-10\P_Kepler-10_Kepler_Quarter_11.npz,1
11904151,13,pre-processing\data\refined\positive\P_Kepler-10\P_Kepler-10_Kepler_Quarter_13.npz,1
11904151,14,pre-processing\data\refined\positive\P_Kepler-10\P_Kepler-10_Kepler_Quarter_14.npz,1
11904151,15,pre-processing\data\refined\positive\P_Kepler-10\P_Kepler-10_Kepler_Quarter_15.npz,1
11904151,17,pre-processing\data\refined\positive\P_Kepler-10\P_Kepler-10_Kepler_Quarter_17.npz,1
6521045,0,pre-processing\data\refined\positive\P_Kepler-100\P_Kepler-100_Kepler_Quarter_00.npz,1
6521045,1,pre-processing\data\refined\positive\P_Kepler-100\P_Kepler-100_Kepler_Quarter_01.npz,1
6521045,2,pre-processing\data\refined\positive\P_Kepler-100\P_Kepler-100_Kepler_Quarter_02.npz,1
6521045,3,pre-processing\data\refined\positive\P_Kepler-100\P_Kepler-100_Kepler_Quarter_03.npz,1
6521045,4,pre-processing\data\refined\positive\P_Kepler-100\P_Kepler-100_Kepler_Quarter_04.npz,1
6521045,5,pre-processing\data\refined\positive\P_Kepler-100\P_Kepler-100_Kepler_Quarter_05.npz,1
6521045,6,pre-processing\data\refined\positive\P_Kepler-100\P_Kepler-100_Kepler_Quarter_06.npz,1
6521045,7,pre-processing\data\refined\positive\P_Kepler-100\P_Kepler-100_Kepler_Quarter_07.npz,1
6521045,8,pre-processing\data\refined\positive\P_Kepler-100\P_Kepler-100_Kepler_Quarter_08.npz,1
6521045,9,pre-processing\data\refined\positive\P_Kepler-100\P_Kepler-100_Kepler_Quarter_09.npz,1
6521045,10,pre-processing\data\refined\positive\P_Kepler-100\P_Kepler-100_Kepler_Quarter_10.npz,1
6521045,11,pre-processing\data\refined\positive\P_Kepler-100\P_Kepler-100_Kepler_Quarter_11.npz,1
6521045,12,pre-processing\data\refined\positive\P_Kepler-100\P_Kepler-100_Kepler_Quarter_12.npz,1
6521045,13,pre-processing\data\refined\positive\P_Kepler-100\P_Kepler-100_Kepler_Quarter_13.npz,1
6521045,14,pre-processing\data\refined\positive\P_Kepler-100\P_Kepler-100_Kepler_Quarter_14.npz,1
6521045,15,pre-processing\data\refined\positive\P_Kepler-100\P_Kepler-100_Kepler_Quarter_15.npz,1
6521045,16,pre-processing\data\refined\positive\P_Kepler-100\P_Kepler-100_Kepler_Quarter_16.npz,1
6521045,17,pre-processing\data\refined\positive\P_Kepler-100\P_Kepler-100_Kepler_Quarter_17.npz,1
10063802,0,pre-processing\data\refined\positive\P_Kepler-1000\P_Kepler-1000_Kepler_Quarter_00.npz,1
10063802,1,pre-processing\data\refined\positive\P_Kepler-1000\P_Kepler-1000_Kepler_Quarter_01.npz,1
10063802,2,pre-processing\data\refined\positive\P_Kepler-1000\P_Kepler-1000_Kepler_Quarter_02.npz,1
10063802,3,pre-processing\data\refined\positive\P_Kepler-1000\P_Kepler-1000_Kepler_Quarter_03.npz,1
10063802,4,pre-processing\data\refined\positive\P_Kepler-1000\P_Kepler-1000_Kepler_Quarter_04.npz,1
10063802,5,pre-processing\data\refined\positive\P_Kepler-1000\P_Kepler-1000_Kepler_Quarter_05.npz,1
10063802,6,pre-processing\data\refined\positive\P_Kepler-1000\P_Kepler-1000_Kepler_Quarter_06.npz,1
10063802,7,pre-processing\data\refined\positive\P_Kepler-1000\P_Kepler-1000_Kepler_Quarter_07.npz,1
10063802,8,pre-processing\data\refined\positive\P_Kepler-1000\P_Kepler-1000_Kepler_Quarter_08.npz,1
10063802,9,pre-processing\data\refined\positive\P_Kepler-1000\P_Kepler-1000_Kepler_Quarter_09.npz,1
